estimator,bias,rmse,bias_emp_ci_lower,bias_emp_ci_upper,abs_bias,dgp_number,N,T,fact_label,eps_autocorrelated,avg_diff_in_loading,eta_y,tau_x,beta,true_att,err_label,dgp_label
gsynth,0.01022727492001832,0.16330760454764923,-0.3084507723142546,0.3245719359123107,0.13142896651019137,2,50,5,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,0.003285103967941524,0.1190874939763595,-0.24195241372817788,0.23163644322519641,0.09416102319679384,2,50,5,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,-0.29780105531350287,0.36606064736009786,-0.7168123109859057,0.12369684246112903,0.31579925508327844,2,50,5,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,-0.14404855826210036,0.20228216233740282,-0.44009182334003033,0.14071592816152126,0.16680754873751055,2,50,5,Linear Trend,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,-0.0010152174160734146,0.20147274801480486,-0.3981706246840248,0.3904636316030098,0.14823276550984765,2,50,5,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,-3.890504630778249e-4,0.14485270181703203,-0.2910096831730917,0.27789924272278954,0.11645319465413485,2,50,5,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
gsynth with Control,6.20746206016734e-4,0.10280532272041927,-0.19435110669963648,0.19140968678298723,0.08192235258074498,2,50,5,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE via OLS,0.6718713882764096,0.7331629891910256,0.09517570192054299,1.2359688822065307,0.6739455180352837,2,50,5,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TWFE with Control,0.21647775668488933,0.2730968344067566,-0.1114738269837957,0.5376006205131607,0.23262224770765969,2,50,5,Autocorrelated,FALSE,-0.5,0,0,1,0,Independent,"$\kappa = -0.5$, $\tau_x = 0$"
TECCE,0.006050228124697977,0.5097057515127722,-1.0578925418187133,0.8940000014042973,0.3811762052802418,2,50,5,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
gsynth,0.03391643134047688,0.3910361643440104,-0.7795915005336371,0.7343658309956064,0.309406480771418,2,50,5,Constant,TRUE,-0.5,0,0,1,0,AR(1),"$\kappa = -0.5$, $\tau_x = 0$"
