year,sic3,theil,gini,cv,rmd,mld,mkpm_med,mkpm_avg,n,assets,soe,foreign,determ1,determ2,determ3,herf_3dt_city,eg_3dt_city,avgtariff_ind3,numtariff_ind3,input_tariff,exports,lnasset_proc,ln_theil_proc,lnn_proc,lnasset_single,ln_theil_single,lnn_single,lnasset_nonexp,ln_theil_nonexp,lnn_nonexp,ln_theil_pr,ln_theil_mc,lnn_prmc,lnasset_prmc,ln_theil_tfp,lnasset_surv,ln_theil_surv,lnn_surv,lnasset_enex,ln_theil_enex,lnn_enex,lnasset_soe,ln_theil_soe,lnn_soe,lnasset_nonsoe,ln_theil_nonsoe,lnn_nonsoe,lnasset_coast,ln_theil_coast,lnn_coast,lnasset_inland,ln_theil_inland,lnn_inland,a01,tariff01,post02,t01post02,hightariff,hightariff_post02,rel_year,ln_gini,ln_theil,ln_cv,ln_mld,ln_rmd,lnn,lnasset,lnexports,lnfdi,lnit,tariff,y,x1,x2,g,ytilde,x1tilde,x2tilde
2004,213,0.0152529911559651,0.0973084214344601,0.176029060301324,0.068409591187042,0.0153015893223801,1.16341257095337,1.18389475345612,8,8900.3125,0.755625128746033,720,0.0930034220218658,8.00320816040039,0.311365604400635,0.00627575162798166,0.0148234665393829,4.48750019073486,8,6.68705081939697,23526172,10.3728685379028,-3.99004793167114,3.68887948989868,8.95212936401367,-4.18274259567261,6.32972097396851,8.6614294052124,-4.20361328125,5.8200831413269,0.449186086654663,0.442318141460419,2.70805025100708,9.15359401702881,-1.30747485160828,9.55297946929932,-4.11047267913818,5.48063898086548,8.69432258605957,-4.23411226272583,6.08221912384033,9.74165344238281,-4.08651781082153,2.94443893432617,9.06050968170166,-4.19062185287476,6.49072360992432,9.12798404693604,-4.20319509506226,6.34913921356201,8.88735103607178,-4.21804332733154,4.66343927383423,,0.205,TRUE,0.205,TRUE,TRUE,2,-2.32986974230777,-4.18297965378716,-1.7371061822256,-4.17979857869887,-2.68224224215105,6.5191472879404,9.09384166746336,16.9736240615359,6.5792512120101,1.90017294277333,0.0448750019073486,-4.18297965378716,0.0148234665393829,-1.30747485160828,2002,-4.18297965378716,0.0148234665393829,-1.30747485160828
2005,213,0.0161588863674836,0.100628422898827,0.180498002743374,0.0705821185133154,0.0163350992816392,1.15771675109863,1.17312383651733,8,10213.5577464789,0.74406909942627,710,0.0930034220218658,8.00320816040039,0.311365604400635,0.005311394110322,0.0173545349389315,1.25,8,6.44044017791748,21942180,10.4361047744751,-4.05145072937012,3.55534815788269,9.09193325042725,-4.11285448074341,6.32614946365356,8.5893669128418,-3.98793458938599,5.6383547782898,0.505393326282501,0.544489920139313,2.94443893432617,9.29790687561035,-1.52186870574951,9.65244483947754,-4.04016876220703,5.37063789367676,8.9339771270752,-4.17661237716675,6.10479307174683,,,,9.19537353515625,-4.15315723419189,6.47697257995606,9.2601146697998,-4.08594083786011,6.32972097396851,9.04364585876465,-4.39099168777466,4.62497282028198,,0.205,TRUE,0.205,TRUE,TRUE,3,-2.2963205274361,-4.12528514116703,-1.71203556640408,-4.11443915610006,-2.65097844541167,6.49677499018586,9.23147130751149,16.9039213697714,6.56526497003536,1.86259688838877,0.0125,-4.12528514116703,0.0173545349389315,-1.52186870574951,2002,-4.12528514116703,0.0173545349389315,-1.52186870574951
1998,219,0.0186956575333998,0.105775764685948,0.1969696194451,0.0722523579859712,0.0186241403992039,1.16735255718231,1.18396842479706,8,7420.83333333333,0.695735394954681,114,0,0,0,0.0194934476166964,0.00930025149136782,22,7,12.7202787399292,537333.3125,,,,8.21300983428955,-4.10382509231567,4.26268005371094,8.84231948852539,-3.92168164253235,4.29045963287354,,,,,-1.06661736965179,9.25775718688965,-4.07067489624023,4.09434461593628,8.07302665710449,-4.02106428146362,3.71357202529907,,,,9.058518409729,-3.95251226425171,4.48863649368286,8.92159748077393,-4.08389759063721,4.27666616439819,8.88820934295654,-3.75872135162354,3.36729574203491,,0.216000003814697,FALSE,0,TRUE,FALSE,-4,-2.24643385303842,-3.9794639995535,-1.62470577815138,-3.98329666884448,-2.62759031603812,4.61512051684126,8.91204663892981,13.1943738746089,4.7361984483945,2.54319747118833,0.22,-3.9794639995535,0.00930025149136782,-1.06661736965179,2002,-3.9794639995535,0.00930025149136782,-1.06661736965179
1999,219,0.0232116373817528,0.120575790811927,0.216483838350638,0.0842171456988029,0.0237511186146587,1.18060290813446,1.19782793521881,8,8765.46511627907,0.692394077777863,129,0,0,0,0.0194785874336958,0.00904197990894318,22,7,12.7202787399292,1010246,,,,8.51882266998291,-3.73512744903564,4.35670900344849,8.92060089111328,-3.77860236167908,4.40671920776367,,,,,-1.13849580287933,9.27131462097168,-3.83206868171692,4.35670900344849,8.54985427856445,-3.69059586524963,3.66356158256531,,,,9.17932605743408,-3.91623592376709,4.67282867431641,8.95876693725586,-3.86957931518555,4.44265127182007,9.33452033996582,-3.55447387695313,3.465735912323,,0.216000003814697,FALSE,0,TRUE,FALSE,-3,-2.11547675437619,-3.76310151479231,-1.53023938397665,-3.74012565004606,-2.47435674783665,4.76217393479776,9.07857486112473,13.8257044235169,4.85981240436167,2.54319747118833,0.22,-3.76310151479231,0.00904197990894318,-1.13849580287933,2002,-3.76310151479231,0.00904197990894318,-1.13849580287933
2000,219,0.0191368982555372,0.110258668004663,0.19574077815185,0.0781581384753488,0.0196010695362929,1.17564105987549,1.18648266792297,8,11995.6808510638,0.695723712444305,141,0,0,0,0.0180359594523907,0.0122000211849809,22,14,12.0381026268005,2018136.75,8.83779048919678,-4.15830135345459,2.7725887298584,9.06970024108887,-4.04736995697022,4.53259944915772,8.9884090423584,-3.85227680206299,4.54329490661621,,,,,-1.26357400417328,9.68589401245117,-4.02757406234741,4.52178859710693,7.76090335845947,-3.83139753341675,3.78418970108032,,,,9.34687995910645,-4.06902313232422,4.84418725967407,9.33816337585449,-3.92859864234924,4.64439105987549,9.55141448974609,-4.11833715438843,3.465735912323,,0.216000003814697,FALSE,0,TRUE,FALSE,-2,-2.20492614638819,-3.95613696170433,-1.63096405555633,-3.93217114605625,-2.54902108837682,4.91265488573605,9.39230193490211,14.5176852427137,4.94875989037817,2.48807683832603,0.22,-3.95613696170433,0.0122000211849809,-1.26357400417328,2002,-3.95613696170433,0.0122000211849809,-1.26357400417328
2001,219,0.0209644064783767,0.11416571850018,0.206914454171162,0.0800694711662501,0.0211067047587607,1.15152192115784,1.19051814079285,8,10873.061452514,0.704343199729919,179,0,0,0,0.0161100123077631,0.0125750619918108,21.6000003814697,5,11.3559265136719,2200598,8.68273830413818,-4.59819793701172,3.09104251861572,9.0055456161499,-3.90947604179382,4.70953035354614,9.0899772644043,-3.84519505500793,4.77912330627441,,,,8.74700736999512,-1.25229918956757,9.43053913116455,-3.93631958961487,4.96981334686279,7.73954582214356,-3.60485887527466,3.29583692550659,,,,9.23939990997314,-3.89233803749084,5.08140420913696,9.23236083984375,-3.88424372673035,4.8751974105835,9.46254825592041,-4.01886177062988,3.68887948989868,0.216000003814697,0.216000003814697,FALSE,0,TRUE,FALSE,-1,-2.17010421509037,-3.86492920887812,-1.57544983600784,-3.85816452789677,-2.52486063156222,5.14166355650266,9.29404358282708,14.6042396995745,5.18738580584076,2.4297397674443,0.216000003814697,-3.86492920887812,0.0125750619918108,-1.25229918956757,2002,-3.86492920887812,0.0125750619918108,-1.25229918956757
2002,219,0.0175308752896557,0.10533381390602,0.189539709191708,0.074199484680588,0.0174939847679474,1.1648154258728,1.18631565570831,8,12379.5,0.720718264579773,192,0.0486434400081635,7.32519102096558,0.213294431567192,0.0134890396147966,0.00895189959555864,17.5799999237061,5,8.28550529479981,2148694.5,8.79831218719482,-4.11296796798706,2.70805025100708,8.76956748962402,-4.08865547180176,4.77068471908569,9.38161563873291,-4.00700902938843,4.74493217468262,,,,8.95860099792481,-1.22015964984894,9.59842395782471,-4.01025676727295,4.95582723617554,8.21075439453125,-4.19513845443726,3.58351898193359,,,,9.41478157043457,-4.07976818084717,5.1119875907898,9.3557767868042,-4.12334537506104,4.8903489112854,9.60384559631348,-3.87402296066284,3.80666255950928,,0.216000003814697,TRUE,0.216000003814697,TRUE,TRUE,0,-2.25062079167482,-4.04379165033967,-1.66315672922581,-4.04589818468638,-2.60099807383847,5.18178355029209,9.42379715770085,14.5803710063753,5.25749537202778,2.1145076381316,0.175799999237061,-4.04379165033967,0.00895189959555864,-1.22015964984894,2002,-4.04379165033967,0.00895189959555864,-1.22015964984894
2003,219,0.017390320970653,0.102979722054343,0.186710651744742,0.0704362912949125,0.0178036042632392,1.17109906673431,1.18005740642548,8,13600.0465116279,0.692535936832428,215,0.0486434400081635,7.32519102096558,0.213294431567192,0.0157854966819286,0.0254221297800541,15.9800004959106,5,7.43466854095459,3917468.25,9.18163204193115,-3.53782653808594,2.89037179946899,8.86050224304199,-4.10848331451416,4.92725372314453,9.41368770599365,-4.0056529045105,4.74493217468262,,,,9.30895900726318,-1.28472721576691,9.76705837249756,-3.96818161010742,4.77068471908569,8.95064449310303,-4.20067167282105,4.34380531311035,,,,9.5038537979126,-4.14222049713135,5.20948600769043,9.56548309326172,-4.07429885864258,5.03695249557495,9.33172607421875,-4.00758838653564,3.71357202529907,,0.216000003814697,TRUE,0.216000003814697,TRUE,TRUE,1,-2.27322318339339,-4.05184149358944,-1.67819517733163,-4.02835435548293,-2.65304664729513,5.27299955856375,9.51782849169093,15.1809561485209,5.37063802812766,2.00615399801111,0.159800004959106,-4.05184149358944,0.0254221297800541,-1.28472721576691,2002,-4.05184149358944,0.0254221297800541,-1.28472721576691
2004,219,0.0200374936528649,0.112395649823094,0.202280256314671,0.0793424484595273,0.0200915919201755,1.15423047542572,1.17523014545441,8,9056.80194805195,0.629120409488678,308,0.0486434400081635,7.32519102096558,0.213294431567192,0.0132683906704187,0.0319433361291885,14.6999998092651,5,6.68705081939697,12209830,,,,8.97156429290772,-3.96405649185181,5.48893785476685,8.99367237091065,-3.86498284339905,5.02388048171997,,,,9.91125774383545,-1.44904184341431,9.34110164642334,-3.80781531333923,4.54329490661621,8.9655647277832,-3.96514010429382,5.24174690246582,,,,9.10619735717773,-3.92102265357971,5.61312818527222,9.16365337371826,-3.89306211471558,5.45532131195068,8.80372142791748,-3.99595737457275,3.89182019233704,,0.216000003814697,TRUE,0.216000003814697,TRUE,TRUE,2,-2.18573004491302,-3.91015007780934,-1.59810113564307,-3.90745386386324,-2.53398200403021,5.64544689764324,9.11127135085662,16.317751922976,5.73009978297357,1.90017294277333,0.146999998092651,-3.91015007780934,0.0319433361291885,-1.44904184341431,2002,-3.91015007780934,0.0319433361291885,-1.44904184341431
2005,219,0.0182695591372025,0.106403035736534,0.194293493709247,0.0748690864249691,0.0180762751580722,1.12282907962799,1.1679230928421,8,13748.9021406728,0.644553184509277,327,0.0486434400081635,7.32519102096558,0.213294431567192,0.0142381768673658,0.0302984863519669,13.2399997711182,5,6.44044017791748,11397132,9.65308856964111,-3.87356853485107,2.70805025100708,9.50260925292969,-4.02531909942627,5.57973003387451,9.51873016357422,-3.96471571922302,5.06890439987183,,,,9.61781024932861,-1.39341735839844,9.49946403503418,-3.90198349952698,4.44265127182007,9.54062271118164,-4.04590845108032,5.37989711761475,,,,9.54172611236572,-4.01448011398315,5.68697547912598,9.55438899993896,-3.99563884735107,5.54126358032227,9.36906909942627,-4.04928493499756,3.85014748573303,,0.216000003814697,TRUE,0.216000003814697,TRUE,TRUE,3,-2.24052117112321,-4.00251903930468,-1.63838540895844,-4.01315496526128,-2.5920142049648,5.71042701737487,9.52871425559228,16.2488723027661,5.78996017089725,1.86259688838877,0.132399997711182,-4.00251903930468,0.0302984863519669,-1.39341735839844,2002,-4.00251903930468,0.0302984863519669,-1.39341735839844
1998,221,0.0161230313032866,0.0979097679522241,0.181088745851906,0.0692335143851646,0.0165758951287717,1.36071038246155,1.39636552333832,8,55569.3787878788,0.880012452602387,66,0,0,0,0.04073591157794,-4.70177874376532e-05,1,13,14.2272787094116,35059.84765625,,,,10.7906408309937,-4.03214120864868,3.78418970108032,11.0236825942993,-4.07294034957886,3.80666255950928,,,,,-3.40986800193787,11.333532333374,-4.6514778137207,3.178053855896,10.3340349197388,-3.91938281059265,3.25809645652771,11.728199005127,-3.67911553382874,2.83321332931519,9.31257438659668,-4.49838256835938,3.49650764465332,11.3514757156372,-4.19911479949951,3.178053855896,10.3407135009766,-4.3030276298523,3.25809645652771,,0,FALSE,0,FALSE,FALSE,-Inf,-2.32370895962995,-4.12750651347252,-1.70876805930422,-4.09980573961597,-2.67027022167534,3.91202300542815,10.9253875872998,10.4648118132362,4.18965474202643,2.65516115765158,0.01,-4.12750651347252,-4.70177874376532e-05,-3.40986800193787,Inf,-4.12750651347252,-4.70177874376532e-05,-3.40986800193787
1999,221,0.0149345717610621,0.0942259963034513,0.172006802910849,0.0636079297892611,0.0156706294695011,1.35414743423462,1.35101056098938,8,47294.1194029851,0.868867218494415,67,0,0,0,0.0431129895150661,-0.000799801724497229,1,13,14.2272787094116,19828.1796875,,,,10.5497674942017,-4.15552854537964,3.91202306747437,10.8244037628174,-4.13161611557007,3.95124363899231,,,,,-3.4161319732666,11.1795721054077,-4.34237813949585,3.43398714065552,9.8526086807251,-4.19803190231323,3.21887588500977,11.6094436645508,-3.59235405921936,2.99573230743408,9.19928455352783,-4.83970642089844,3.58351898193359,11.1782751083374,-4.40766477584839,3.21887588500977,10.012077331543,-4.14033079147339,3.43398714065552,,0,FALSE,0,FALSE,FALSE,-Inf,-2.36205916622125,-4.20407650123958,-1.76022125114358,-4.15596705306357,-2.75501713418716,4.02535169073515,10.7641412412327,9.89485942141028,4.20469261939097,2.65516115765158,0.01,-4.20407650123958,-0.000799801724497229,-3.4161319732666,Inf,-4.20407650123958,-0.000799801724497229,-3.4161319732666
2000,221,0.0193948494924004,0.1094108566375,0.198182858097363,0.0759328021789011,0.0199044132605195,1.33187162876129,1.33933115005493,8,94967.9393939394,0.914681911468506,66,0,0,0,0.0420791506767273,-0.00150350667536259,1,26,13.4500479698181,15476.36328125,,,,10.9731769561768,-4.07950973510742,3.89182019233704,11.5492544174194,-3.89056777954102,3.97029185295105,-0.519390463829041,-0.562366664409638,3.13549423217773,11.6599569320679,-3.21625685691834,11.873514175415,-4.26059865951538,3.55534815788269,8.38675785064697,-3.79549670219421,3.09104251861572,12.4904088973999,-3.26342296600342,2.89037179946899,9.16574954986572,-4.64049625396729,3.66356158256531,11.8884477615356,-4.11318063735962,3.21887588500977,10.8226613998413,-3.87382817268372,3.465735912323,,0,FALSE,0,FALSE,FALSE,-Inf,-2.21264515591528,-3.94274773824404,-1.61856514873087,-3.91681379995404,-2.57790651167171,4.04305126783455,11.4612946335597,9.6470691893915,4.18965474202643,2.59898267257072,0.01,-3.94274773824404,-0.00150350667536259,-3.21625685691834,Inf,-3.94274773824404,-0.00150350667536259,-3.21625685691834
